SINGLE_LINE_ADDRESS,POSTCODE,STREET_NAME
"47 COLLINGWOOD ROAD, WITHAM, CM8 2DZ","CM8 2DZ","COLLINGWOOD ROAD"
"48A COLLINGWOOD ROAD, WITHAM, CM8 2DZ","CM8 2DZ","COLLINGWOOD ROAD"
"THE BEECHES, 49 COLLINGWOOD ROAD, WITHAM, CM8 2DZ","CM8 2DZ","COLLINGWOOD ROAD"
"50 COLLINGWOOD ROAD, WITHAM, CM8 2DZ","CM8 2DZ","COLLINGWOOD ROAD"
"51 COLLINGWOOD ROAD, WITHAM, CM8 2DZ","CM8 2DZ","COLLINGWOOD ROAD"
"53 COLLINGWOOD ROAD, WITHAM, CM8 2DZ","CM8 2DZ","COLLINGWOOD ROAD"
"55 COLLINGWOOD ROAD, WITHAM, CM8 2DZ","CM8 2DZ","COLLINGWOOD ROAD"
"PELICAN PLACE NURSERY, 14-16 COLLINGWOOD ROAD, WITHAM, CM8 2DZ","CM8 2DZ","COLLINGWOOD ROAD"
"THE SURGERY, 40 COLLINGWOOD ROAD, WITHAM, CM8 2DZ","CM8 2DZ","COLLINGWOOD ROAD"
"BOND INTERNATIONAL SOFTWARE LTD, WARWICK HOUSE, 48 COLLINGWOOD ROAD, WITHAM, CM8 2DZ","CM8 2DZ","COLLINGWOOD ROAD"
"HALL, COLLINGWOOD ROAD, WITHAM, CM8 2DZ","CM8 2DZ","COLLINGWOOD ROAD"
"4 SCOSSELS, GLEMSFORD, SUDBURY, CO10 7UR","CO10 7UR",SCOSSELS
"1 SCOSSELS, GLEMSFORD, SUDBURY, CO10 7UR","CO10 7UR",SCOSSELS
"2 SCOSSELS, GLEMSFORD, SUDBURY, CO10 7UR","CO10 7UR",SCOSSELS
"3 SCOSSELS, GLEMSFORD, SUDBURY, CO10 7UR","CO10 7UR",SCOSSELS
"5 SCOSSELS, GLEMSFORD, SUDBURY, CO10 7UR","CO10 7UR",SCOSSELS
"6 SCOSSELS, GLEMSFORD, SUDBURY, CO10 7UR","CO10 7UR",SCOSSELS
"7 SCOSSELS, GLEMSFORD, SUDBURY, CO10 7UR","CO10 7UR",SCOSSELS
"8 SCOSSELS, GLEMSFORD, SUDBURY, CO10 7UR","CO10 7UR",SCOSSELS
"LAND SOUTH WEST OF, SCOSSELS, GLEMSFORD, CO10 7UR","CO10 7UR",SCOSSELS
"9 SCOSSELS, GLEMSFORD, SUDBURY, CO10 7UR","CO10 7UR",SCOSSELS
"PLOT 10, LAND SOUTH WEST OF, SCOSSELS, GLEMSFORD, SUDBURY, CO10 7UR","CO10 7UR",SCOSSELS
"A1 VANS & TRUCKS LTD, TELFORD ROAD, CLACTON ON SEA, CLACTON-ON-SEA, CO15 4LP","CO15 4LP","TELFORD ROAD"
"ELECTRICITY SUB STATION, MAGNOLIA CENTRE, TELFORD ROAD, CLACTON ON SEA, CO15 4LP","CO15 4LP","TELFORD ROAD"
"GAS GOVERNER, TELFORD ROAD, CLACTON ON SEA, CO15 4LP","CO15 4LP","TELFORD ROAD"
"W R D SYSTEMS, 27 TELFORD ROAD, CLACTON ON SEA, CLACTON-ON-SEA, CO15 4LP","CO15 4LP","TELFORD ROAD"
"TYRE INDUSTRY PUBLICATIONS, UNIT I, MAGNOLIA CENTRE, TELFORD ROAD, CLACTON ON SEA, CO15 4LP","CO15 4LP","TELFORD ROAD"
"UNIT 2, TELFORD ROAD, CLACTON ON SEA, CO15 4LP","CO15 4LP","TELFORD ROAD"
